name,position,team
Eric Bailly,DEF,Man Utd
Keinan Davis,FWD,Aston Villa
Ayotomiwa Dele-Bashiru,MID,Watford
James Ward-Prowse,MID,Southampton
Bruno Miguel Borges Fernandes,MID,Man Utd
Adrián San Miguel del Castillo,GK,Liverpool
James McArthur,MID,Crystal Palace
Moise Kean,FWD,Everton
Kwadwo Baah,MID,Watford
Paul Dummett,DEF,Newcastle
Jairo Riedewald,MID,Crystal Palace
Willy Boly,DEF,Wolves
José Diogo Dalot Teixeira,DEF,Man Utd
Jeffrey Schlupp,MID,Crystal Palace
Robert Elliot,GK,Watford
Joshua King,FWD,Watford
Richarlison de Andrade,FWD,Everton
Jamal Baptiste,DEF,West Ham
Sam Byram,DEF,Norwich
Danny Rose,DEF,Watford
Ederson Santana de Moraes,GK,Man City
Liam Cooper,DEF,Leeds
Frédéric Guilbert,DEF,Aston Villa
Matt Targett,DEF,Aston Villa
James McAtee,MID,Man City
Adama Traoré,MID,Wolves
Jorge Luiz Frello Filho,MID,Chelsea
Diogo Jota,MID,Liverpool
Ilkay Gündogan,MID,Man City
Luke Shaw,DEF,Man Utd
Armando Broja,FWD,Southampton
Nicolas Nkoulou,DEF,Watford
Stipe Perica,FWD,Watford
Emerson Palmieri dos Santos,DEF,Chelsea
Isaac Success Ajayi,FWD,Watford
Declan Rice,MID,West Ham
Juan Mata,MID,Man Utd
Hélder Wander Sousa de Azevedo e Costa,MID,Leeds
Robert Street,FWD,Crystal Palace
Harvey Elliott,MID,Liverpool
Mahmoud Ahmed Ibrahim Hassan,MID,Aston Villa
Ashley Young,DEF,Aston Villa
Hamza Choudhury,MID,Leicester
Christoph Zimmermann,DEF,Norwich
Tammy Abraham,FWD,Chelsea
Juraj Kucka,MID,Watford
André Filipe Tavares Gomes,MID,Everton
Reece James,DEF,Chelsea
Luke Cundle,MID,Wolves
Adam Forshaw,MID,Leeds
Kepa Arrizabalaga,GK,Chelsea
Kortney Hause,DEF,Aston Villa
Tyrone Mings,DEF,Aston Villa
Ainsley Maitland-Niles,MID,Arsenal
Jesse Lingard,MID,Man Utd
Billy Gilmour,MID,Norwich
Jaden Philogene-Bidace,MID,Aston Villa
Fernando Luiz Rosa,MID,Man City
Björn Engels,DEF,Aston Villa
Tariqe Fosu-Henry,MID,Brentford
Thomas Partey,MID,Arsenal
Karl Hein,GK,Arsenal
Francisco Femenía Far,DEF,Watford
Maxwel Cornet,MID,Burnley
Raúl Jiménez,FWD,Wolves
Sean Longstaff,MID,Newcastle
Boubakary Soumaré,MID,Leicester
Héctor Bellerín,DEF,Arsenal
Emmanuel Dennis,FWD,Watford
Lucas Torreira,MID,Arsenal
Nampalys Mendy,MID,Leicester
Ryan Fraser,MID,Newcastle
Alex Kral,MID,West Ham
Paul Pogba,MID,Man Utd
Bertrand Traoré,MID,Aston Villa
Christian Nørgaard,MID,Brentford
Wesley Fofana,DEF,Leicester
Tommy Doyle,MID,Man City
Nemanja Matic,MID,Man Utd
Arthur Masuaku,DEF,West Ham
Bernard Anício Caldeira Duarte,MID,Everton
Brandon Williams,DEF,Norwich
Kenny McLean,MID,Norwich
Jeremy Ngakia,DEF,Watford
Connor Roberts,DEF,Burnley
Sadio Mané,MID,Liverpool
Conor Bradley,DEF,Liverpool
Edward Nketiah,FWD,Arsenal
Ben Davies,DEF,Liverpool
Trevoh Chalobah,DEF,Chelsea
Bali Mumba,DEF,Norwich
Theo Walcott,MID,Southampton
Fabian Schär,DEF,Newcastle
Mateusz Klich,MID,Leeds
Che Adams,FWD,Southampton
Andriy Yarmolenko,MID,West Ham
Onel Hernández,MID,Norwich
Benjamin Chilwell,DEF,Chelsea
Leander Dendoncker,MID,Wolves
Andrew Robertson,DEF,Liverpool
Hee-Chan Hwang,FWD,Wolves
Marcus Rashford,MID,Man Utd
Rayan Ait Nouri,DEF,Wolves
Ciaran Clark,DEF,Newcastle
Bobby Thomas,DEF,Burnley
John McGinn,MID,Aston Villa
Jonathan Tomkinson,DEF,Norwich
Bukayo Saka,MID,Arsenal
Takumi Minamino,MID,Liverpool
Rhys Williams,DEF,Liverpool
Jack Butland,GK,Crystal Palace
João Pedro Cavaco Cancelo,DEF,Man City
Marvelous Nakamba,MID,Aston Villa
Cédric Soares,DEF,Arsenal
Joseph Gomez,DEF,Liverpool
Johann Berg Gudmundsson,MID,Burnley
Charlie Cresswell,DEF,Leeds
Jan Bednarek,DEF,Southampton
Eldin Jakupovic,GK,Leicester
Nathaniel Chalobah,MID,Watford
Fabio Henrique Tavares,MID,Liverpool
Niels Nkounkou,DEF,Everton
Maxwell Haygarth,MID,Brentford
Pontus Jansson,DEF,Brentford
João Filipe Iria Santos Moutinho,MID,Wolves
James Storer,GK,Wolves
Asmir Begović,GK,Everton
Aymeric Laporte,DEF,Man City
Nuno Varela Tavares,DEF,Arsenal
Konstantinos Tsimikas,DEF,Liverpool
Jacob Murphy,MID,Newcastle
Mason Mount,MID,Chelsea
Yoane Wissa,MID,Brentford
Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd
Donny van de Beek,MID,Man Utd
Divock Origi,FWD,Liverpool
Dimitris Giannoulis,DEF,Norwich
Anwar El Ghazi,MID,Aston Villa
Kyle Walker-Peters,DEF,Southampton
Mohamed Elyounoussi,MID,Southampton
Christian Kabasele,DEF,Watford
Andre Gray,FWD,Watford
Ibrahima Konaté,DEF,Liverpool
Jean-Philippe Mateta,FWD,Crystal Palace
Tim Iroegbunam,MID,Aston Villa
Aaron Ramsdale,GK,Arsenal
Luke Thomas,DEF,Leicester
Tyler Onyango,MID,Everton
Phil Jones,DEF,Man Utd
Diego Llorente,DEF,Leeds
Robin Koch,DEF,Leeds
Albert Sambi Lokonga,MID,Arsenal
Sam Greenwood,FWD,Leeds
Nathan Ferguson,DEF,Crystal Palace
Alexandre Lacazette,FWD,Arsenal
Kevin De Bruyne,MID,Man City
Mohamed Salah,MID,Liverpool
Raheem Sterling,MID,Man City
Wilfried Zaha,MID,Crystal Palace
Freddie Woodman,GK,Newcastle
Neco Williams,DEF,Liverpool
Ben Mee,DEF,Burnley
Pascal Struijk,DEF,Leeds
Tom Davies,MID,Everton
Louie Moulden,GK,Wolves
Konstantinos Mavropanos,DEF,Arsenal
Alex Iwobi,MID,Everton
Edouard Mendy,GK,Chelsea
Ozan Tufan,MID,Watford
Marc Guéhi,DEF,Crystal Palace
Matej Vydra,FWD,Burnley
Ethan Ampadu,DEF,Chelsea
Marcus Forss,FWD,Brentford
Todd Cantwell,MID,Norwich
Joe Gelhardt,FWD,Leeds
Jarrod Bowen,MID,West Ham
Folarin Balogun,FWD,Arsenal
Benjamin Mendy,DEF,Man City
Willian Borges Da Silva,MID,Arsenal
Joe White,MID,Newcastle
Francisco Machado Mota de Castro Trincão,MID,Wolves
Manuel Lanzini,MID,West Ham
Moussa Sissoko,MID,Watford
Owen Dodgson,DEF,Burnley
Luka Milivojevic,MID,Crystal Palace
Ruben Loftus-Cheek,MID,Chelsea
Dominic Thompson,DEF,Brentford
Ozan Kabak,DEF,Norwich
Liam McCarron,MID,Leeds
Rúnar Alex Rúnarsson,GK,Arsenal
Rui Pedro dos Santos Patrício,GK,Wolves
Eberechi Eze,MID,Crystal Palace
Joshua Wilson-Esbrand,DEF,Man City
Joseph Hungbo,MID,Watford
Dale Stephens,MID,Burnley
James Rodríguez,MID,Everton
Charlie Whitaker,MID,Everton
Dwight Gayle,FWD,Newcastle
Raphael Dias Belloli,MID,Leeds
Issa Diop,DEF,West Ham
Michy Batshuayi,FWD,Chelsea
Rúben Diogo da Silva Neves,MID,Wolves
Mateo Kovacic,MID,Chelsea
Matthew Cox,GK,Brentford
Conor Gallagher,MID,Crystal Palace
James Morris,DEF,Watford
Anthony Martial,FWD,Man Utd
Crysencio Summerville,MID,Leeds
Rico Henry,DEF,Brentford
Harrison Ashby,DEF,West Ham
Frederik Alves,DEF,West Ham
Rodrigo Moreno,FWD,Leeds
Vontae Daley-Campbell,DEF,Leicester
Callum Wilson,FWD,Newcastle
Joel Matip,DEF,Liverpool
Dan Gosling,MID,Watford
Virgil van Dijk,DEF,Liverpool
Ben Wilmot,DEF,Watford
Saïd Benrahma,MID,West Ham
Max Aarons,DEF,Norwich
Demarai Gray,MID,Everton
Antonio Rüdiger,DEF,Chelsea
Stuart McKinstry,MID,Leeds
Philip Zinckernagel,MID,Watford
Dean Henderson,GK,Man Utd
Jamaal Lascelles,DEF,Newcastle
Darren Randolph,GK,West Ham
Mads Bech Sørensen,DEF,Brentford
Malang Sarr,DEF,Chelsea
Willy Caballero,GK,Southampton
Douglas Luiz Soares de Paulo,MID,Aston Villa
Sergi Canós,MID,Brentford
Przemyslaw Placheta,MID,Norwich
Patson Daka,FWD,Leicester
Stuart Armstrong,MID,Southampton
Ismaila Sarr,MID,Watford
Owen Otasowie,MID,Wolves
Reece Hannam,DEF,Crystal Palace
Martin Dubravka,GK,Newcastle
Nathaniel Clyne,DEF,Crystal Palace
Luke Mbete,DEF,Man City
Lukasz Fabianski,GK,West Ham
Gylfi Sigurdsson,MID,Everton
Yerry Mina,DEF,Everton
Nathan Collins,DEF,Burnley
Mattéo Guendouzi,MID,Arsenal
Shandon Baptiste,MID,Brentford
James Justin,DEF,Leicester
Conor Coventry,MID,West Ham
Grant Hanley,DEF,Norwich
Emiliano Martínez,GK,Aston Villa
Oriol Romeu Vidal,MID,Southampton
Emil Krafth,DEF,Newcastle
Christian Pulisic,MID,Chelsea
Jarosław Jach,DEF,Crystal Palace
Tom Cleverley,MID,Watford
Çaglar Söyüncü,DEF,Leicester
John Stones,DEF,Man City
Viljami Sinisalo,GK,Aston Villa
Pedro Lomba Neto,MID,Wolves
Danny Ings,FWD,Aston Villa
Gabriel Fernando de Jesus,FWD,Man City
Scott McTominay,MID,Man Utd
Pablo Marí,DEF,Arsenal
Andy Lonergan,GK,Everton
Dominic Calvert-Lewin,FWD,Everton
Kasey McAteer,MID,Leicester
Nikola Vlasic,MID,West Ham
Ellis Simms,FWD,Everton
Takehiro Tomiyasu,DEF,Arsenal
Kalvin Phillips,MID,Leeds
Ollie Watkins,FWD,Aston Villa
Ethan Pinnock,DEF,Brentford
Aaron Lennon,MID,Burnley
Vitaly Janelt,MID,Brentford
Mark Gillespie,GK,Newcastle
Bryan Mbeumo,MID,Brentford
Abdoulaye Doucouré,MID,Everton
Tim Krul,GK,Norwich
Jacob Sørensen,DEF,Norwich
Jamal Lewis,DEF,Newcastle
Remi Matthews,GK,Crystal Palace
Rodrigo Hernandez,MID,Man City
Winston Reid,DEF,West Ham
Axel Tuanzebe,DEF,Aston Villa
Ademola Lookman,MID,Leicester
Hakim Ziyech,MID,Chelsea
Marcus Bettinelli,GK,Chelsea
Kaide Gordon,MID,Liverpool
Sonny Perkins,MID,West Ham
Patrick Bamford,FWD,Leeds
Ben Nelson,DEF,Leicester
William Saliba,DEF,Arsenal
Salomón Rondón,FWD,Everton
Marc Albrighton,MID,Leicester
Kevin Long,DEF,Burnley
Jamie Vardy,FWD,Leicester
Alisson Ramses Becker,GK,Liverpool
Emiliano Buendía Stati,MID,Aston Villa
Miguel Almirón,MID,Newcastle
Pablo Fornals,MID,West Ham
Andros Townsend,MID,Everton
Jonjo Shelvey,MID,Newcastle
Jean-Philippe Gbamin,MID,Everton
Elliot Anderson,MID,Newcastle
Yan Valery,DEF,Southampton
Charlie Goode,DEF,Brentford
Marcos Alonso,DEF,Chelsea
Pelenda Joshua Dasilva,MID,Brentford
Allan Marques Loureiro,MID,Everton
Oleksandr Zinchenko,DEF,Man City
Nathaniel Phillips,DEF,Liverpool
Adam Armstrong,FWD,Southampton
Joshua Sargent,FWD,Norwich
Phil Bardsley,DEF,Burnley
James Milner,MID,Liverpool
Lewis Brunt,MID,Leicester
Jed Steer,GK,Aston Villa
Mark Noble,MID,West Ham
Cody Drameh,DEF,Leeds
Pierre-Emerick Aubameyang,FWD,Arsenal
José Malheiro de Sá,GK,Wolves
Fraser Forster,GK,Southampton
Matthew Cash,DEF,Aston Villa
Allan Saint-Maximin,FWD,Newcastle
Jarrad Branthwaite,DEF,Everton
Joel Ward,DEF,Crystal Palace
Milot Rashica,MID,Norwich
Vladimir Coufal,DEF,West Ham
Fabian Delph,MID,Everton
Ben Johnson,DEF,West Ham
Emile Smith Rowe,MID,Arsenal
Tyler Morton,MID,Liverpool
Joelinton Cássio Apolinário de Lira,FWD,Newcastle
Karl Darlow,GK,Newcastle
Kiernan Dewsbury-Hall,MID,Leicester
Christian Benteke,FWD,Crystal Palace
Riyad Mahrez,MID,Man City
Frank Onyeka,MID,Brentford
Jay Rodriguez,FWD,Burnley
Ellery Balcombe,GK,Brentford
Marco Stiepermann,MID,Norwich
Tino Livramento,DEF,Southampton
Ashley Westwood,MID,Burnley
Cameron Archer,FWD,Aston Villa
Charlie Taylor,DEF,Burnley
Mathias Normann,MID,Norwich
Mads Bidstrup,MID,Brentford
Mason Holgate,DEF,Everton
Jack Stephens,DEF,Southampton
Lyanco Evangelista Silveira Neves Vojnovic,DEF,Southampton
Anthony Gordon,MID,Everton
Chris Wood,FWD,Burnley
Nélson Cabral Semedo,DEF,Wolves
Scott Banks,MID,Crystal Palace
Harry Lewis,GK,Southampton
Romain Saïss,DEF,Wolves
Ben Gibson,DEF,Norwich
Vincent Angelini,GK,Watford
Oghenekaro Peter Etebo,MID,Watford
Cenk Tosun,FWD,Everton
Alphonse Areola,GK,West Ham
Jordan Ayew,FWD,Crystal Palace
Fernando Marçal,DEF,Wolves
Alex Nicolao Telles,DEF,Man Utd
Zack Steffen,GK,Man City
Roberto Firmino,FWD,Liverpool
Harry Tyrer,GK,Everton
Callum Hudson-Odoi,MID,Chelsea
Morgan Sanson,MID,Aston Villa
Harry Maguire,DEF,Man Utd
Raphaël Varane,DEF,Man Utd
Max Kilman,DEF,Wolves
Teemu Pukki,FWD,Norwich
Mohamed Naser El Sayed Elneny,MID,Arsenal
William Smallbone,MID,Southampton
Adedapo Awokoya-Mebude,FWD,Watford
Kelechi Iheanacho,FWD,Leicester
Ashley Fletcher,FWD,Watford
Daniel James,MID,Leeds
Lewis Richardson,FWD,Burnley
Kieran Tierney,DEF,Arsenal
Ben Foster,GK,Watford
Lewis Bate,MID,Leeds
Arthur Okonkwo,GK,Arsenal
Alex McCarthy,GK,Southampton
Matthew Pollock,DEF,Watford
Ki-Jana Hoever,DEF,Wolves
Aaron Wan-Bissaka,DEF,Man Utd
Hugo Bueno,DEF,Wolves
Stuart Dallas,MID,Leeds
Carney Chukwuemeka,MID,Aston Villa
Ben Godfrey,DEF,Everton
Pierre Lees-Melou,MID,Norwich
Tyler Roberts,MID,Leeds
Andreas Pereira,MID,Man Utd
Jamie Shackleton,MID,Leeds
Ross Barkley,MID,Chelsea
Ivan Toney,FWD,Brentford
Cole Palmer,MID,Man City
James Maddison,MID,Leicester
Odsonne Edouard,FWD,Crystal Palace
Jesurun Rak-Sakyi,MID,Crystal Palace
Kyle Walker,DEF,Man City
Isaac Hayden,MID,Newcastle
Vicente Guaita,GK,Crystal Palace
Lamare Bogarde,DEF,Aston Villa
Marc Navarro,DEF,Watford
Mathias Jensen,MID,Brentford
Amad Diallo,MID,Man Utd
Moussa Djenepo,MID,Southampton
Olivier Giroud,FWD,Chelsea
Ken Sema,MID,Watford
Edinson Cavani,FWD,Man Utd
Héctor Junior Firpo Adames,DEF,Leeds
Imrân Louza,MID,Watford
Trent Alexander-Arnold,DEF,Liverpool
Ricardo Domingos Barbosa Pereira,DEF,Leicester
Michael Obafemi,FWD,Southampton
James Tarkowski,DEF,Burnley
Cheikhou Kouyaté,DEF,Crystal Palace
Naby Keita,MID,Liverpool
Kristoffer Ajer,DEF,Brentford
Michael McGovern,GK,Norwich
Jack Grealish,MID,Man City
Matthew Lowton,DEF,Burnley
Mathias Jorgensen,DEF,Brentford
Rúben Santos Gato Alves Dias,DEF,Man City
Xherdan Shaqiri,MID,Liverpool
Ashley Barnes,FWD,Burnley
Daniel Bachmann,GK,Watford
Romelu Lukaku,FWD,Chelsea
Conor Hourihane,MID,Aston Villa
William Troost-Ekong,DEF,Watford
Nathan Tella,MID,Southampton
Shane Long,FWD,Southampton
Bernardo Mota Veiga de Carvalho e Silva,MID,Man City
Adam Idah,FWD,Norwich
Conor Coady,DEF,Wolves
Angus Gunn,GK,Norwich
Mbwana Ally Samatta,FWD,Aston Villa
Cieran Slicker,GK,Man City
Youri Tielemans,MID,Leicester
Craig Cathcart,DEF,Watford
Reece Welch,DEF,Everton
Saman Ghoddos,MID,Brentford
Illan Meslier,GK,Leeds
Francisco Casilla Cortés,GK,Leeds
Gabriel Magalhães,DEF,Arsenal
Francisco Sierralta,DEF,Watford
Jordan Henderson,MID,Liverpool
Romeo Lavia,MID,Man City
Ibrahima Diallo,MID,Southampton
Calum Chambers,DEF,Arsenal
Dwight McNeil,MID,Burnley
Jonathan Castro Otto,DEF,Wolves
Patrik Gunnarsson,GK,Brentford
Matthew Longstaff,MID,Newcastle
Saúl Ñíguez,MID,Chelsea
James Tomkins,DEF,Crystal Palace
Timo Werner,FWD,Chelsea
David Raya Martin,GK,Brentford
Nick Pope,GK,Burnley
Ezri Konsa Ngoyo,DEF,Aston Villa
Kristoffer Klaesson,GK,Leeds
Gabriel Teodoro Martinelli Silva,MID,Arsenal
Christian Marques,DEF,Wolves
Jack Jenkins,MID,Leeds
Lewis Dobbin,FWD,Everton
Jack Cork,MID,Burnley
Domingos Quina,MID,Watford
Aaron Ramsey,MID,Aston Villa
Patrick Cutrone,FWD,Wolves
Jacob Ramsey,MID,Aston Villa
Leo Fuhr Hjelde,DEF,Leeds
Nathan Aké,DEF,Man City
Jonjoe Kenny,DEF,Everton
Dennis Praet,MID,Leicester
Joseph Willock,MID,Newcastle
Angelo Ogbonna,DEF,West Ham
Pablo Hernández Domínguez,MID,Leeds
Reiss Nelson,MID,Arsenal
Rob Holding,DEF,Arsenal
Troy Deeney,FWD,Watford
Seamus Coleman,DEF,Everton
Harvey Barnes,MID,Leicester
Timothy Castagne,DEF,Leicester
Joachim Andersen,DEF,Crystal Palace
Bailey Peacock-Farrell,GK,Burnley
Tom Heaton,GK,Man Utd
Josh Brownhill,MID,Burnley
João Pedro Junqueira de Jesus,FWD,Watford
Ian Carlo Poveda-Ocampo,MID,Leeds
Nohan Kenneh,MID,Leeds
Frederico Rodrigues de Paula Santos,MID,Man Utd
Yerson Mosquera Valdelamar,DEF,Wolves
Tyrick Mitchell,DEF,Crystal Palace
Wayne Hennessey,GK,Burnley
Andreas Christensen,DEF,Chelsea
Jack Harrison,MID,Leeds
David de Gea,GK,Man Utd
Victor Lindelöf,DEF,Man Utd
Jannik Vestergaard,DEF,Leicester
Ayoze Pérez,MID,Leicester
Tomas Soucek,MID,West Ham
Javier Manquillo,DEF,Newcastle
Paris Maghoma,MID,Brentford
Romain Perraud,DEF,Southampton
Will Hughes,MID,Crystal Palace
Nicolas Pépé,MID,Arsenal
Martin Kelly,DEF,Crystal Palace
Andreas Söndergaard,GK,Wolves
Will Norris,GK,Burnley
Granit Xhaka,MID,Arsenal
Jan Zamburek,MID,Brentford
Fabio Silva,FWD,Wolves
Michail Antonio,FWD,West Ham
Luke Ayling,DEF,Leeds
Mads Roerslev Rasmussen,DEF,Brentford
Jonny Evans,DEF,Leicester
Ajibola Alese,DEF,West Ham
Anthony Elanga,MID,Man Utd
Ferran Torres,MID,Man City
Finley Stevens,DEF,Brentford
Wesley Moraes,FWD,Aston Villa
Jordan Pickford,GK,Everton
Erik Pieters,DEF,Burnley
Juan Camilo Hernández Suárez,FWD,Watford
Bernd Leno,GK,Arsenal
Kai Havertz,MID,Chelsea
Daniel N'Lundulu,FWD,Southampton
Martin Ødegaard,MID,Arsenal
Leon Bailey,MID,Aston Villa
Michael Olise,MID,Crystal Palace
Morgan Gibbs-White,MID,Wolves
Jeff Hendrick,MID,Newcastle
Michael Keane,DEF,Everton
Mason Greenwood,MID,Man Utd
João Virgínia,GK,Everton
Adam Masina,DEF,Watford
Daniel Amartey,DEF,Leicester
Chem Campbell,MID,Wolves
César Azpilicueta,DEF,Chelsea
Caoimhin Kelleher,GK,Liverpool
Andrew Omobamidele,DEF,Norwich
Phil Foden,MID,Man City
Thiago Alcántara do Nascimento,MID,Liverpool
Kieran Dowell,MID,Norwich
Ryan Bertrand,DEF,Leicester
Lucas Digne,DEF,Everton
Nathan Young-Coombes,FWD,Brentford
Ben Woodburn,MID,Liverpool
Danny Ward,GK,Leicester
Sead Kolasinac,DEF,Arsenal
Álvaro Fernández,GK,Brentford
Samuel Edozie,MID,Man City
Alex Oxlade-Chamberlain,MID,Liverpool
Josh Benson,MID,Burnley
Craig Dawson,DEF,West Ham
Kasper Schmeichel,GK,Leicester
Ben White,DEF,Arsenal
Christos Tzolis,MID,Norwich
Thiago Emiliano da Silva,DEF,Chelsea
Daniel Castelo Podence,MID,Wolves
Halil Dervişoğlu,FWD,Brentford
Jadon Sancho,MID,Man Utd
Kurt Zouma,DEF,West Ham
Lukas Rupp,MID,Norwich
Aaron Cresswell,DEF,West Ham
Jordan Hugill,FWD,Norwich
Scott Carson,GK,Man City
Nathan Broadhead,FWD,Everton
Federico Fernández,DEF,Newcastle
Curtis Jones,MID,Liverpool
Owen Beck,DEF,Liverpool
John Ruddy,GK,Wolves
Mohammed Salisu,DEF,Southampton
N'Golo Kanté,MID,Chelsea
Josh Martin,MID,Norwich
Wilfred Ndidi,MID,Leicester
Matt Ritchie,DEF,Newcastle
Nathan Redmond,MID,Southampton
Ryan Fredericks,DEF,West Ham
Alexis Mac Allister,MID,Brighton
Alireza Jahanbakhsh,MID,Brighton
Filip Marschall,GK,Aston Villa
Ed Turns,DEF,Brighton
Marc Leonard,MID,Brighton
Shane Duffy,DEF,Brighton
Jonathan Rowe,MID,Norwich
Leandro Trossard,MID,Brighton
Jakub Moder,MID,Brighton
Enock Mwepu,MID,Brighton
Michal Karbownik,DEF,Brighton
Pascal Groß,MID,Brighton
Steven Alzate,MID,Brighton
Conrad Egan-Riley,DEF,Man City
Robert Sánchez,GK,Brighton
Jürgen Locadia,FWD,Brighton
Davy Pröpper,MID,Brighton
Evan Ferguson,FWD,Brighton
Taylor Richards,MID,Brighton
Florin Andone,FWD,Brighton
Moisés Caicedo,MID,Brighton
Thomas Dickson-Peters,FWD,Norwich
Armstrong Oko-Flex,MID,West Ham
Adam Webster,DEF,Brighton
Joël Veltman,DEF,Brighton
Marc Cucurella,DEF,Brighton
Lewis Dunk,DEF,Brighton
Jason Steele,GK,Brighton
Solomon March,MID,Brighton
Tariq Lamptey,DEF,Brighton
Kjell Scherpen,GK,Brighton
Adam Lallana,MID,Brighton
Haydon Roberts,DEF,Brighton
Jeremy Sarmiento,MID,Brighton
Neal Maupay,FWD,Brighton
Danny Welbeck,FWD,Brighton
Aaron Connolly,FWD,Brighton
Andi Zeqiri,FWD,Brighton
Bernardo Fernandes Da Silva Junior,DEF,Brighton
Yves Bissouma,MID,Brighton
Marcelo de Araújo Pitaluga Filho,GK,Liverpool
Dan Burn,DEF,Brighton
Mathew Ryan,GK,Brighton
Samuel Kalu,MID,Watford
Dion Sanderson,DEF,Wolves
Daniel Chesters,MID,West Ham
Brandon Austin,GK,Spurs
Zak Swanson,DEF,Arsenal
Sam Waller,GK,Burnley
Liam Delap,FWD,Man City
Kgaogelo Chauke,MID,Southampton
Jarell Quansah,DEF,Liverpool
Josh Feeney,DEF,Aston Villa
Hannibal Mejbri,MID,Man Utd
Eric Dier,DEF,Spurs
Dejan Kulusevski,MID,Spurs
Ryan Alebiosu,DEF,Arsenal
Omari Hutchinson,MID,Arsenal
Wout Weghorst,FWD,Burnley
Dane Scarlett,FWD,Spurs
Liam Gibbs,MID,Norwich
Dynel Simeu,DEF,Southampton
Serge Aurier,DEF,Spurs
Archie Gray,MID,Leeds
Benjamin Chrisene,MID,Aston Villa
Philippe Coutinho Correia,MID,Aston Villa
Bruno Guimarães Rodriguez Moura,MID,Newcastle
Harry Winks,MID,Spurs
Cristian Romero,DEF,Spurs
Tommi O'Reilly,MID,Aston Villa
Salah-Eddine Oulad M'hand,MID,Arsenal
Hassane Kamara,DEF,Watford
Kayky da Silva Chagas,FWD,Man City
Vitalii Mykolenko,DEF,Everton
Emerson Aparecido Leite de Souza Junior,DEF,Spurs
Luis Díaz,MID,Liverpool
Mika Biereth,FWD,Arsenal
Oliver Skipp,MID,Spurs
Kris Moore,DEF,Leeds
Davinson Sánchez,DEF,Spurs
Kieran Trippier,DEF,Newcastle
Francisco Jorge Tomás Oliveira,MID,Wolves
Thomas McGill,GK,Brighton
Matt Doherty,DEF,Spurs
Robert Kenedy Nunes do Nascimento,DEF,Chelsea
Harvey White,MID,Spurs
Pierre Ekwah,DEF,West Ham
Toby Alderweireld,DEF,Spurs
Jon McCracken,GK,Norwich
Bamidele Alli,MID,Everton
Joe Hart,GK,Spurs
Ryan Giles,MID,Wolves
Christian Eriksen,MID,Brentford
Lucas Rodrigues Moura da Silva,MID,Spurs
Steven Bergwijn,MID,Spurs
Nathan Patterson,DEF,Everton
Zach Awe,DEF,Arsenal
Tobi Omole,DEF,Spurs
Tayo Adaramola,DEF,Crystal Palace
Giovani Lo Celso,MID,Spurs
Jonas Lössl,GK,Brentford
Alfie Devine,MID,Spurs
Japhet Tanganga,DEF,Spurs
Robin Olsen,GK,Aston Villa
Pierre-Emile Højbjerg,MID,Spurs
Erik Lamela,MID,Spurs
Charlie Patino,MID,Arsenal
Toti António Gomes,DEF,Wolves
Hugo Lloris,GK,Spurs
Rodrigo Bentancur,MID,Spurs
Dilan Markanday,MID,Spurs
Tanguy Ndombele,MID,Spurs
Odeluga Offiah,DEF,Brighton
Heung-Min Son,MID,Spurs
Harry Kane,FWD,Spurs
Lucas De Bolle,MID,Newcastle
Sergio Reguilón,DEF,Spurs
Pierluigi Gollini,GK,Spurs
Thierry Small,DEF,Southampton
Samir Caetano de Souza Santos,DEF,Watford
Lewis Hall,MID,Chelsea
Bruno André Cavaco Jordão,MID,Wolves
Edo Kayembe,MID,Watford
Joe Rodon,DEF,Spurs
Myles Peart-Harris,MID,Brentford
Harvey Vale,MID,Chelsea
Ryan Sessegnon,DEF,Spurs
Bryan Gil Salvatierra,MID,Spurs
Kaine Hayden,DEF,Aston Villa
Kamil Conteh,MID,Watford
Julian Jeanvier,DEF,Brentford
Jamie Bowden,MID,Spurs
Tyler Dibling,MID,Southampton
Tony Springett,MID,Norwich
Dara Costelloe,MID,Burnley
Marcel Lavinier,DEF,Spurs
Anthony Mancini,MID,Burnley
Isaac Price,MID,Everton
Charlie Savage,MID,Man Utd
Abu Kamara,FWD,Norwich
Tiago Çukur,FWD,Watford
Mazeed Ogungbo,DEF,Arsenal
Shola Shoretire,MID,Man Utd
Matthew Craig,MID,Spurs
Adrian Blake,MID,Watford
Alejandro Garnacho Ferreyra,MID,Man Utd
Joseph McGlynn,FWD,Burnley
Alex Kirk,DEF,Arsenal
Shaqai Forde,FWD,Watford
Marcelo Flores,MID,Arsenal
Miguel Azeez,MID,Arsenal
Jack Grieves,FWD,Watford
